Year,Month,Day,NorESM1-M
2037,4,22,294.82
2037,4,23,168.58
2037,4,24,89.54
2037,4,25,60.42
2037,4,26,51.02
2037,4,27,47.85
2037,4,28,46.45
2037,4,29,45.52
2037,4,30,44.68
2037,5,1,176.26
2037,5,2,175.40
2037,5,3,93.30
2037,5,4,93.62
2037,5,5,102.21
2037,5,6,66.55
2037,5,7,52.43
2037,5,8,47.35
2037,5,9,45.35
2037,5,10,44.25
2037,5,11,43.37
2037,5,12,42.54
2037,5,13,41.84
2037,5,14,41.23
2037,5,15,40.54
2037,5,16,39.79
2037,5,17,39.01
2037,5,18,38.38
2037,5,19,37.71
2037,5,20,37.13
2037,5,21,36.55
2037,5,22,35.97
2037,5,23,35.35
2037,5,24,34.75
2037,5,25,34.16
2037,5,26,33.61
2037,5,27,33.07
2037,5,28,32.48
2037,5,29,31.89
2037,5,30,31.35
2037,5,31,30.83
2037,6,1,30.25
2037,6,2,29.71
2037,6,3,29.22
2037,6,4,28.74
2037,6,5,28.22
2037,6,6,27.62
2037,6,7,27.09
2037,6,8,26.56
2037,6,9,26.08
2037,6,10,25.72
2037,6,11,25.46
2037,6,12,25.08
2037,6,13,24.68
2037,6,14,24.21
2037,6,15,23.74
2037,6,16,23.33
2037,6,17,22.95
2037,6,18,22.58
2037,6,19,22.25
2037,6,20,21.87
2037,6,21,21.45
2037,6,22,21.11
2037,6,23,20.70
2037,6,24,20.32
2037,6,25,20.00
2037,6,26,19.61
2037,6,27,19.21
2037,6,28,18.84
2037,6,29,18.56
2037,6,30,18.28
2037,7,1,17.98
2037,7,2,17.65
2037,7,3,17.40
2037,7,4,17.21
2037,7,5,16.96
2037,7,6,16.60
2037,7,7,16.31
2037,7,8,15.98
2037,7,9,15.68
2037,7,10,15.43
2037,7,11,15.19
2037,7,12,14.92
2037,7,13,14.66
2037,7,14,14.36
2037,7,15,14.08
2037,7,16,13.90
2037,7,17,13.71
2037,7,18,13.48
2037,7,19,13.23
2037,7,20,13.05
2037,7,21,12.75
2037,7,22,12.47
2037,7,23,12.18
2037,7,24,11.97
2037,7,25,11.82
2037,7,26,11.70
2037,7,27,16.44
2037,7,28,35.56
2037,7,29,26.70
2037,7,30,17.79
2037,7,31,13.53
2037,8,1,11.90
2037,8,2,11.28
2037,8,3,10.99
2037,8,4,10.76
2037,8,5,10.57
2037,8,6,10.42
2037,8,7,10.27
2037,8,8,10.11
2037,8,9,9.93
2037,8,10,9.76
2037,8,11,9.61
2037,8,12,9.45
2037,8,13,9.29
2037,8,14,9.15
2037,8,15,9.23
2037,8,16,9.83
2037,8,17,9.52
2037,8,18,8.95
2037,8,19,8.53
2037,8,20,8.21
2037,8,21,8.05
2037,8,22,7.92
2037,8,23,7.82
2037,8,24,7.73
2037,8,25,7.61
2037,8,26,7.45
2037,8,27,7.33
2037,8,28,7.22
2037,8,29,7.13
2037,8,30,7.00
2037,8,31,6.87
2037,9,1,6.74
2037,9,2,6.64
2037,9,3,6.54
2037,9,4,6.43
2037,9,5,6.31
2037,9,6,6.17
2037,9,7,6.03
2037,9,8,5.92
2037,9,9,5.78
2037,9,10,5.68
2037,9,11,5.62
2037,9,12,5.54
2037,9,13,5.40
2037,9,14,5.24
2037,9,15,5.23
2037,9,16,5.22
2037,9,17,5.16
2037,9,18,5.05
2037,9,19,4.95
2037,9,20,4.87
2037,9,21,9.95
2037,9,22,86.61
2037,9,23,72.61
2037,9,24,33.50
2037,9,25,15.61
2037,9,26,9.60
2037,9,27,7.81
2037,9,28,7.25
2037,9,29,7.00
2037,9,30,6.83
2037,10,1,6.69
2037,10,2,6.61
2037,10,3,6.53
2037,10,4,6.41
2037,10,5,6.27
2037,10,6,6.17
2037,10,7,6.09
2037,10,8,6.02
2037,10,9,5.93
2037,10,10,5.83
2037,10,11,5.75
2037,10,12,5.67
2037,10,13,5.59
2037,10,14,5.50
2037,10,15,5.40
2037,10,16,5.29
2037,10,17,5.21
2037,10,18,5.12
2037,10,19,5.04
2037,10,20,4.96
2037,10,21,4.87
2037,10,22,4.79
2037,10,23,4.70
2037,10,24,4.61
2037,10,25,4.52
2037,10,26,4.46
2037,10,27,4.39
2037,10,28,6.66
2037,10,29,187.83
2037,10,30,197.04
2037,10,31,98.23
2037,11,1,41.25
2037,11,2,144.75
2037,11,3,74.68
2037,11,4,34.60
2037,11,5,20.30
2037,11,6,86.14
2037,11,7,86.70
2037,11,8,42.39
2037,11,9,24.56
2037,11,10,18.43
2037,11,11,16.45
2037,11,12,15.71
2037,11,13,24.03
2037,11,14,20.81
2037,11,15,17.48
2037,11,16,15.69
2037,11,17,174.67
2037,11,18,175.65
2037,11,19,82.38
2037,11,20,40.64
2037,11,21,25.93
2037,11,22,21.28
2037,11,23,125.41
2037,11,24,172.84
2037,11,25,91.97
2037,11,26,47.33
2037,11,27,30.80
2037,11,28,25.31
2037,11,29,84.43
2037,11,30,206.35
2037,12,1,206.15
2037,12,2,96.30
2037,12,3,142.09
2037,12,4,252.54
2037,12,5,204.16
2037,12,6,95.41
2037,12,7,105.34
2037,12,8,59.20
2037,12,9,43.15
2037,12,10,37.71
2037,12,11,50.33
2037,12,12,51.83
2037,12,13,44.18
2037,12,14,37.54
2037,12,15,34.61
2037,12,16,33.36
2037,12,17,32.63
2037,12,18,32.05
2037,12,19,31.50
2037,12,20,30.96
2037,12,21,30.44
2037,12,22,29.94
2037,12,23,29.44
2037,12,24,28.96
2037,12,25,28.48
2037,12,26,27.99
2037,12,27,27.52
2037,12,28,27.06
2037,12,29,26.61
2037,12,30,26.16
2037,12,31,25.71
2038,1,1,25.29
2038,1,2,24.87
2038,1,3,24.45
2038,1,4,99.47
2038,1,5,100.04
2038,1,6,47.99
2038,1,7,31.80
2038,1,8,26.86
2038,1,9,25.32
2038,1,10,133.05
2038,1,11,143.23
2038,1,12,75.06
2038,1,13,40.51
2038,1,14,30.62
2038,1,15,65.43
2038,1,16,39.85
2038,1,17,30.54
2038,1,18,27.42
2038,1,19,26.25
2038,1,20,37.09
2038,1,21,136.05
2038,1,22,199.07
2038,1,23,123.00
2038,1,24,60.84
2038,1,25,39.13
2038,1,26,32.16
2038,1,27,29.89
2038,1,28,28.94
2038,1,29,28.34
2038,1,30,27.83
2038,1,31,31.89
2038,2,1,44.20
2038,2,2,115.86
2038,2,3,154.15
2038,2,4,76.96
2038,2,5,45.04
2038,2,6,84.19
2038,2,7,221.69
2038,2,8,195.08
2038,2,9,107.42
2038,2,10,121.56
2038,2,11,140.66
2038,2,12,141.09
2038,2,13,77.31
2038,2,14,234.41
2038,2,15,324.17
2038,2,16,280.26
2038,2,17,153.75
2038,2,18,81.99
2038,2,19,65.22
2038,2,20,56.04
2038,2,21,50.18
2038,2,22,47.17
2038,2,23,45.60
2038,2,24,185.82
2038,2,25,218.97
2038,2,26,158.08
2038,2,27,88.90
2038,2,28,61.42
2038,3,1,51.79
2038,3,2,48.42
2038,3,3,55.58
2038,3,4,173.58
2038,3,5,118.48
2038,3,6,70.37
2038,3,7,69.23
2038,3,8,220.67
2038,3,9,398.54
2038,3,10,428.93
2038,3,11,354.95
2038,3,12,241.83
2038,3,13,165.37
2038,3,14,182.21
2038,3,15,301.94
2038,3,16,320.56
2038,3,17,224.70
2038,3,18,148.27
2038,3,19,130.23
2038,3,20,169.74
2038,3,21,114.35
2038,3,22,86.48
2038,3,23,77.26
2038,3,24,76.70
2038,3,25,74.86
2038,3,26,74.27
2038,3,27,82.86
2038,3,28,74.88
2038,3,29,68.15
2038,3,30,64.77
2038,3,31,62.95
2038,4,1,61.68
2038,4,2,65.27
2038,4,3,73.60
2038,4,4,96.37
2038,4,5,122.29
2038,4,6,83.45
2038,4,7,66.11
2038,4,8,59.48
