Year,Month,Day,MIROC-ESM
1981,12,31,3.45
1982,1,1,3.39
1982,1,2,3.33
1982,1,3,3.28
1982,1,4,38.96
1982,1,5,20.12
1982,1,6,6.79
1982,1,7,4.52
1982,1,8,3.99
1982,1,9,3.83
1982,1,10,3.75
1982,1,11,3.68
1982,1,12,3.62
1982,1,13,3.56
1982,1,14,3.50
1982,1,15,3.44
1982,1,16,3.38
1982,1,17,3.32
1982,1,18,3.27
1982,1,19,3.21
1982,1,20,3.16
1982,1,21,3.10
1982,1,22,3.05
1982,1,23,3.00
1982,1,24,2.95
1982,1,25,2.90
1982,1,26,2.85
1982,1,27,2.81
1982,1,28,2.76
1982,1,29,2.72
1982,1,30,2.67
1982,1,31,2.63
1982,2,1,2.58
1982,2,2,2.54
1982,2,3,2.50
1982,2,4,2.45
1982,2,5,2.41
1982,2,6,2.37
1982,2,7,2.33
1982,2,8,2.29
1982,2,9,2.26
1982,2,10,2.22
1982,2,11,2.18
1982,2,12,2.14
1982,2,13,2.11
1982,2,14,2.07
1982,2,15,2.04
1982,2,16,2.00
1982,2,17,1.97
1982,2,18,1.93
1982,2,19,1.90
1982,2,20,1.87
1982,2,21,1.84
1982,2,22,1.81
1982,2,23,1.78
1982,2,24,1.75
1982,2,25,1.72
1982,2,26,1.69
1982,2,27,1.66
1982,2,28,1.64
1982,3,1,1.61
1982,3,2,1.58
1982,3,3,1.55
1982,3,4,1.53
1982,3,5,1.50
1982,3,6,1.47
1982,3,7,1.45
1982,3,8,1.43
1982,3,9,18.89
1982,3,10,5.92
1982,3,11,2.00
1982,3,12,1.74
1982,3,13,1.66
1982,3,14,1.62
1982,3,15,1.60
1982,3,16,1.57
1982,3,17,1.54
1982,3,18,1.52
1982,3,19,2.15
1982,3,20,30.75
1982,3,21,32.17
1982,3,22,10.68
1982,3,23,3.26
1982,3,24,2.57
1982,3,25,2.45
1982,3,26,29.17
1982,3,27,38.91
1982,3,28,45.77
1982,3,29,32.31
1982,3,30,18.09
1982,3,31,13.87
1982,4,1,12.67
1982,4,2,26.04
1982,4,3,37.64
1982,4,4,52.95
1982,4,5,58.14
1982,4,6,58.26
1982,4,7,56.29
1982,4,8,67.57
1982,4,9,80.21
1982,4,10,82.70
1982,4,11,86.03
1982,4,12,72.94
1982,4,13,54.39
1982,4,14,25.13
1982,4,15,14.75
1982,4,16,13.13
1982,4,17,12.64
1982,4,18,12.38
1982,4,19,17.60
1982,4,20,39.45
1982,4,21,56.14
1982,4,22,60.94
1982,4,23,57.55
1982,4,24,49.50
1982,4,25,47.30
1982,4,26,65.75
1982,4,27,86.27
1982,4,28,80.55
1982,4,29,72.06
1982,4,30,64.17
1982,5,1,50.53
1982,5,2,45.54
1982,5,3,58.26
1982,5,4,48.71
1982,5,5,35.88
1982,5,6,27.22
1982,5,7,32.13
1982,5,8,56.39
1982,5,9,73.29
1982,5,10,78.00
1982,5,11,68.12
1982,5,12,61.83
1982,5,13,60.67
1982,5,14,60.63
1982,5,15,69.62
1982,5,16,67.21
1982,5,17,51.18
1982,5,18,33.16
1982,5,19,28.86
1982,5,20,31.39
1982,5,21,51.95
1982,5,22,33.05
1982,5,23,53.37
1982,5,24,70.48
1982,5,25,71.71
1982,5,26,68.32
1982,5,27,58.32
1982,5,28,49.59
1982,5,29,38.07
1982,5,30,29.40
1982,5,31,31.24
1982,6,1,23.93
1982,6,2,30.60
1982,6,3,24.81
1982,6,4,21.87
1982,6,5,21.10
1982,6,6,20.68
1982,6,7,20.32
1982,6,8,19.97
1982,6,9,19.63
1982,6,10,19.48
1982,6,11,20.07
1982,6,12,21.46
1982,6,13,25.28
1982,6,14,23.88
1982,6,15,19.19
1982,6,16,17.97
1982,6,17,17.49
1982,6,18,17.15
1982,6,19,16.85
1982,6,20,22.05
1982,6,21,17.22
1982,6,22,16.26
1982,6,23,15.88
1982,6,24,15.60
1982,6,25,15.33
1982,6,26,15.06
1982,6,27,14.81
1982,6,28,14.56
1982,6,29,14.31
1982,6,30,14.07
1982,7,1,13.83
1982,7,2,13.60
1982,7,3,13.38
1982,7,4,13.15
1982,7,5,12.93
1982,7,6,18.57
1982,7,7,29.87
1982,7,8,17.88
1982,7,9,15.14
1982,7,10,48.79
1982,7,11,52.40
1982,7,12,38.81
1982,7,13,20.21
1982,7,14,16.94
1982,7,15,13.83
1982,7,16,13.02
1982,7,17,17.92
1982,7,18,16.42
1982,7,19,13.14
1982,7,20,12.32
1982,7,21,12.01
1982,7,22,18.92
1982,7,23,23.89
1982,7,24,16.16
1982,7,25,12.21
1982,7,26,11.51
1982,7,27,11.23
1982,7,28,11.03
1982,7,29,10.84
1982,7,30,10.66
1982,7,31,10.48
1982,8,1,10.31
1982,8,2,10.12
1982,8,3,9.95
1982,8,4,9.79
1982,8,5,9.63
1982,8,6,9.48
1982,8,7,9.32
1982,8,8,9.16
1982,8,9,9.00
1982,8,10,8.85
1982,8,11,8.71
1982,8,12,8.56
1982,8,13,8.42
1982,8,14,8.28
1982,8,15,8.14
1982,8,16,8.00
1982,8,17,7.86
1982,8,18,7.73
1982,8,19,7.61
1982,8,20,7.48
1982,8,21,7.36
1982,8,22,7.23
1982,8,23,7.63
1982,8,24,21.69
1982,8,25,14.79
1982,8,26,8.38
1982,8,27,7.25
1982,8,28,8.97
1982,8,29,7.02
1982,8,30,10.74
1982,8,31,23.43
1982,9,1,9.94
1982,9,2,7.31
1982,9,3,6.76
1982,9,4,6.74
1982,9,5,8.33
1982,9,6,6.86
1982,9,7,6.38
1982,9,8,7.06
1982,9,9,18.22
1982,9,10,13.85
1982,9,11,7.59
1982,9,12,6.38
1982,9,13,6.07
1982,9,14,5.93
1982,9,15,5.82
1982,9,16,7.18
1982,9,17,6.13
1982,9,18,5.60
1982,9,19,7.73
1982,9,20,15.97
1982,9,21,16.23
1982,9,22,6.94
1982,9,23,5.73
1982,9,24,5.46
1982,9,25,5.34
1982,9,26,5.24
1982,9,27,5.15
1982,9,28,5.07
1982,9,29,4.98
1982,9,30,4.90
1982,10,1,8.14
1982,10,2,6.97
1982,10,3,5.20
1982,10,4,5.14
1982,10,5,8.56
1982,10,6,5.57
1982,10,7,9.57
1982,10,8,5.56
1982,10,9,4.69
1982,10,10,6.90
1982,10,11,13.66
1982,10,12,8.03
1982,10,13,5.04
1982,10,14,4.48
1982,10,15,4.32
1982,10,16,4.74
1982,10,17,26.98
1982,10,18,33.38
1982,10,19,10.54
1982,10,20,6.08
1982,10,21,5.05
1982,10,22,41.67
1982,10,23,56.47
1982,10,24,52.29
1982,10,25,28.96
1982,10,26,31.83
1982,10,27,24.65
1982,10,28,13.89
1982,10,29,16.36
1982,10,30,12.08
1982,10,31,8.31
1982,11,1,7.38
1982,11,2,7.09
1982,11,3,6.94
1982,11,4,6.82
1982,11,5,6.70
1982,11,6,12.48
1982,11,7,40.68
1982,11,8,35.78
1982,11,9,17.13
1982,11,10,10.37
1982,11,11,9.74
1982,11,12,9.80
1982,11,13,7.53
1982,11,14,7.10
1982,11,15,6.93
1982,11,16,11.64
1982,11,17,9.44
1982,11,18,21.34
1982,11,19,11.78
1982,11,20,9.53
1982,11,21,8.77
1982,11,22,9.04
1982,11,23,8.14
1982,11,24,8.49
1982,11,25,6.71
1982,11,26,6.37
1982,11,27,6.22
1982,11,28,6.10
1982,11,29,6.00
1982,11,30,5.90
1982,12,1,5.80
1982,12,2,5.71
1982,12,3,5.61
1982,12,4,5.52
1982,12,5,5.43
1982,12,6,5.34
1982,12,7,5.25
1982,12,8,5.16
1982,12,9,5.07
1982,12,10,5.27
1982,12,11,9.92
1982,12,12,5.50
1982,12,13,4.94
1982,12,14,4.78
1982,12,15,4.68
1982,12,16,4.60
1982,12,17,4.52
1982,12,18,4.45
1982,12,19,4.37
1982,12,20,4.30
1982,12,21,4.23
1982,12,22,4.16
1982,12,23,4.09
1982,12,24,4.02
1982,12,25,3.95
1982,12,26,3.89
1982,12,27,3.82
1982,12,28,3.76
1982,12,29,3.70
1982,12,30,3.63
1982,12,31,3.57
1983,1,1,3.51
1983,1,2,3.45
1983,1,3,3.39
1983,1,4,3.34
1983,1,5,3.28
1983,1,6,3.23
1983,1,7,3.17
1983,1,8,9.95
1983,1,9,4.47
1983,1,10,3.43
1983,1,11,3.16
1983,1,12,3.06
1983,1,13,3.00
1983,1,14,2.95
1983,1,15,2.90
1983,1,16,2.85
1983,1,17,23.06
1983,1,18,32.05
1983,1,19,8.06
1983,1,20,4.39
1983,1,21,3.64
1983,1,22,3.45
1983,1,23,3.37
1983,1,24,3.30
1983,1,25,3.25
1983,1,26,3.89
1983,1,27,20.22
1983,1,28,6.25
1983,1,29,3.95
1983,1,30,3.43
1983,1,31,3.29
1983,2,1,3.21
1983,2,2,3.15
1983,2,3,3.10
1983,2,4,3.05
1983,2,5,3.00
1983,2,6,2.95
1983,2,7,2.90
1983,2,8,2.85
1983,2,9,2.80
1983,2,10,2.76
1983,2,11,2.71
1983,2,12,2.66
1983,2,13,2.62
1983,2,14,2.58
1983,2,15,2.54
1983,2,16,2.49
1983,2,17,2.45
1983,2,18,2.41
1983,2,19,2.37
1983,2,20,2.33
1983,2,21,2.29
1983,2,22,2.25
1983,2,23,2.21
1983,2,24,2.18
1983,2,25,2.14
1983,2,26,2.10
1983,2,27,2.07
1983,2,28,2.03
1983,3,1,2.00
1983,3,2,1.96
1983,3,3,39.81
1983,3,4,35.73
1983,3,5,12.73
1983,3,6,5.58
1983,3,7,3.36
1983,3,8,3.10
1983,3,9,3.00
1983,3,10,2.95
1983,3,11,2.90
1983,3,12,2.85
1983,3,13,2.80
1983,3,14,2.75
1983,3,15,2.70
1983,3,16,2.66
1983,3,17,2.62
1983,3,18,2.57
1983,3,19,2.53
1983,3,20,2.49
1983,3,21,2.44
1983,3,22,2.40
1983,3,23,2.36
1983,3,24,2.33
1983,3,25,2.29
1983,3,26,2.25
1983,3,27,10.37
1983,3,28,11.41
1983,3,29,54.58
1983,3,30,50.85
1983,3,31,28.42
1983,4,1,9.21
1983,4,2,5.31
1983,4,3,5.16
1983,4,4,33.18
1983,4,5,25.25
1983,4,6,7.81
1983,4,7,5.33
1983,4,8,4.79
1983,4,9,4.62
1983,4,10,33.57
1983,4,11,26.29
1983,4,12,9.40
1983,4,13,5.70
1983,4,14,5.19
1983,4,15,5.02
1983,4,16,5.09
1983,4,17,4.84
1983,4,18,5.44
1983,4,19,30.61
1983,4,20,49.02
1983,4,21,56.79
1983,4,22,47.22
1983,4,23,22.34
1983,4,24,9.27
1983,4,25,12.47
1983,4,26,9.39
1983,4,27,7.03
1983,4,28,7.75
1983,4,29,17.60
1983,4,30,54.17
1983,5,1,64.51
1983,5,2,72.64
1983,5,3,66.95
1983,5,4,47.91
1983,5,5,23.01
1983,5,6,19.61
1983,5,7,24.43
1983,5,8,42.33
1983,5,9,51.95
1983,5,10,51.90
1983,5,11,38.34
1983,5,12,22.05
1983,5,13,22.52
1983,5,14,23.66
1983,5,15,30.34
1983,5,16,56.69
1983,5,17,82.59
1983,5,18,73.43
1983,5,19,55.01
1983,5,20,35.00
1983,5,21,26.07
1983,5,22,25.74
1983,5,23,17.73
1983,5,24,16.30
1983,5,25,14.37
1983,5,26,15.92
1983,5,27,31.55
1983,5,28,26.12
1983,5,29,35.05
1983,5,30,21.37
1983,5,31,15.15
1983,6,1,13.69
1983,6,2,22.74
1983,6,3,58.78
1983,6,4,58.09
1983,6,5,39.02
1983,6,6,48.57
1983,6,7,67.50
1983,6,8,53.30
1983,6,9,24.39
1983,6,10,23.21
1983,6,11,21.14
1983,6,12,17.42
1983,6,13,15.36
1983,6,14,14.75
1983,6,15,14.43
1983,6,16,14.48
1983,6,17,13.98
1983,6,18,13.71
1983,6,19,13.48
