Year,Month,Day,HadGEM2-ES
1981,10,7,19.25
1981,10,8,18.95
1981,10,9,18.62
1981,10,10,18.29
1981,10,11,17.98
1981,10,12,17.68
1981,10,13,17.37
1981,10,14,17.10
1981,10,15,17.85
1981,10,16,17.04
1981,10,17,16.44
1981,10,18,21.16
1981,10,19,59.02
1981,10,20,30.62
1981,10,21,20.66
1981,10,22,111.63
1981,10,23,52.16
1981,10,24,28.35
1981,10,25,20.42
1981,10,26,28.69
1981,10,27,21.85
1981,10,28,18.39
1981,10,29,17.05
1981,10,30,16.47
1981,10,31,16.15
1981,11,1,15.86
1981,11,2,15.57
1981,11,3,15.28
1981,11,4,15.00
1981,11,5,14.74
1981,11,6,19.96
1981,11,7,58.81
1981,11,8,157.15
1981,11,9,89.88
1981,11,10,43.34
1981,11,11,27.73
1981,11,12,28.84
1981,11,13,25.96
1981,11,14,30.71
1981,11,15,24.34
1981,11,16,19.27
1981,11,17,24.43
1981,11,18,18.53
1981,11,19,116.13
1981,11,20,71.88
1981,11,21,41.75
1981,11,22,25.55
1981,11,23,84.84
1981,11,24,39.83
1981,11,25,74.08
1981,11,26,49.66
1981,11,27,50.21
1981,11,28,74.27
1981,11,29,138.91
1981,11,30,72.14
1981,12,1,39.01
1981,12,2,27.27
1981,12,3,23.45
1981,12,4,54.09
1981,12,5,63.96
1981,12,6,54.97
1981,12,7,56.20
1981,12,8,88.27
1981,12,9,46.81
1981,12,10,30.61
1981,12,11,46.49
1981,12,12,67.48
1981,12,13,140.49
1981,12,14,70.92
1981,12,15,39.33
1981,12,16,28.97
1981,12,17,25.68
1981,12,18,24.51
1981,12,19,23.91
1981,12,20,23.46
1981,12,21,23.06
1981,12,22,22.67
1981,12,23,22.29
1981,12,24,21.92
1981,12,25,21.55
1981,12,26,21.18
1981,12,27,20.82
1981,12,28,20.46
1981,12,29,20.12
1981,12,30,19.78
1981,12,31,19.47
1982,1,1,19.15
1982,1,2,18.82
1982,1,3,18.50
1982,1,4,18.20
1982,1,5,17.90
1982,1,6,17.60
1982,1,7,38.73
1982,1,8,26.68
1982,1,9,20.26
1982,1,10,17.82
1982,1,11,54.66
1982,1,12,35.78
1982,1,13,24.03
1982,1,14,19.00
1982,1,15,17.21
1982,1,16,16.51
1982,1,17,16.12
